flat_type,full_address,floor_type,square,price
2К,"Им. газеты ""Правда"", 63",5/5,"49,8/30/9 м2",3 450 000 р.
1К,"Карла Маркса, 233",4/10,"36,3/27/9 м2",2 500 000 р.
3К,"ул Ворошилова, 23/1",5/9,58/35/7 м2,4 350 000 р.
2К,"Орджоникидзевскийпр.Пушкина, 36",4/4,56/39/7 м2,1 980 000 р.
2К,"ул Калмыкова, 14",9/9,"50,2/0/8 м2",3 500 000 р.
1К,"Карла Маркса, 230/1",5/10,32/17/8 м2,2 500 000 р.
1К,"ул Жукова, 13/1",3/9,40/20/9 м2,3 050 000 р.
3Кленинградский проект,"ЛенинскийКарла Маркса, 55",2/5,76/50/9 м2,5 900 000 р.
3Кнестандартная,"Орджоникидзевский50-летия Магнитки, 61",3/9,61/45/9 м2,5 100 000 р.
2К,"Российская, 7",2/2,45/31/6 м2,500 000 р.
2Кнестандартная,"ЛенинскийЛенина пр-т, 55/1",4/5,42/30/6 м2,3 750 000 р.
3Кнестандартная,"ПравобережныйКарла Маркса, 156",5/9,62/42/8 м2,4 500 000 р.
2К,"ОрджоникидзевскийКарла Маркса, 233",4/10,60/36/16 м2,3 700 000 р.
4К,"ОрджоникидзевскийТруда, 18",9/9,"79/0/8,2 м2",5 990 000 р.
3Кнестандартная,"ОрджоникидзевскийВорошилова, 1",7/9,70/50/9 м2,5 990 000 р.
2К,"Коробова, 6/1",13/14,"66,2/40/10,5 м2",3 999 000 р.
3К,"ОрджоникидзевскийЖукова, 25",7/10,65/46/9 м2,5 400 000 р.
3Кбрежневка,"ЛенинскийОктябрьская, 32/1",5/5,"62,4/43/8 м2",4 500 000 р.
1Кхрущевка,"ЛенинскийКарла Маркса, 7",4/4,"32,4/17/6 м2",2 300 000 р.
2К,"Галиуллина, 11/2",5/5,44/27/6 м2,2 900 000 р.
1К,"Центральная, 9",1/1,32/17/7 м2,1 600 000 р.
3К,Орджоникидзевский (левый берег)Лесная,3/4,"46,4/34/6 м2",3 200 000 р.
3К,"Орджоникидзевский (левый берег)Чайковского, 51",2/3,44/34/6 м2,3 000 000 р.
3К,"ЛенинскийЛенина пр-т, 10",5/5,77/48/9 м2,3 650 000 р.
3Кнестандартная,"ОрджоникидзевскийЗавенягина, 6",7/16,82/50/10 м2,5 990 000 р.
,"Ленина пр-т, 212а",1/1,"18,4/12/5 м2",1 100 000 р.
1К,"Ленина пр-т, 220",1/1,35/18/12 м2,1 850 000 р.
2К,"Новая, 1/5",1/2,47/29/8 м2,550 000 р.
1К,"Ленина пр-т, 220",1/1,27/16/11 м2,1 900 000 р.
2К,"Новая, 1/5",1/2,47/29/8 м2,480 000 р.
3К,"Ленина пр-т, 214Б",1/1,70/50/14 м2,7 000 000 р.
2К,"Ленина пр-т, 214Б",1/1,52/31/14 м2,3 380 000 р.
